Common name,Scientific name,Set,Color,Power text,Flavor text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild (food),/ (food cost),* (food cost),Total food cost,North America,Central America,South America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Chihuahuan Raven,Corvus cryptoleucus,core,brown,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,This bird is native to the Chihuahuan Desert of the southwest US and northern Mexico.,,,,4,platform,3,112,,X,,,,,,1,,2,,,3,X,X,,,,,,,X,,,,,,,X,,,,,,X,,X,,X,X,X,,,
Chimney Swift,Chaetura pelagica,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",These birds have adapted to nest in chimneys instead of hollow trees.,,,,3,wild,2,36,X,X,X,2,,,,,,,,,2,X,X,X,,,,,,,,,X,X,,,,X,,,X,,,X,,,X,,,,,X
Chipping Sparrow ,Spizella passerina,core,brown,Lay 1 [egg] on any bird.,"These sparrows generally feed on open ground, but near trees.",,,,1,bowl,3,23,X,X,,1,1,,,,,,/,,1,X,X,,,,,,,,,,X,X,,X,,,,,,,,,,X,,,,,,X
Clark's Grebe ,Aechmophorus clarkii,core,brown,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",Clark was a 19th-century surveyor who collected specimens for the Smithsonian.,,,,5,wild,2,61,,,X,,,1,,,,,,,1,X,X,,,,,,,,X,,,,,,,X,,X,,,,X,,,X,,,,X,X
Clark's Nutcracker ,Nucifraga columbiana,core,brown,"Gain 1 [seed] from the birdfeeder, if available. You may cache it on this bird.",These birds are omnivorous but cache thousands of pine seeds for the winter.,,,,5,platform,2,61,X,,,,2,,,,,1,,,3,X,,,,,,,,,X,,,,,X,X,,,,,X,,,X,,X,,,,,
Coal Tit,Periparus ater,european,brown,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",Coal tits store spruce seeds (and sometimes invertebrates) for winter.,,,,2,cavity,6,16,X,,,1,1,,,,,,,,2,,,,X,X,,,,,,X,X,,,X,,,,,,X,,X,,X,,,,,,
Cockatiel,Nymphicus hollandicus,oceania,brown,Discard 1 [seed] to choose a [card] from the tray and tuck it behind this bird.,Australia banned the export of cockatiels and other birds in 1894 because of poaching for the pet trade.,,X,,2,cavity,5,32,X,X,X,,1,,,,,,,,1,,,,,,,X,,,,,X,X,X,X,,,,,,,,X,,,,,,,,
Common Blackbird,Turdus merula,european,white,"Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.",This bird was made world-famous by the Beatles.,,,,4,bowl,5,36,X,,,1,,,2,,,,,,3,,,,X,X,,,,,,X,,,,,X,,,,,X,,,,,,,,X,,X
Common Buzzard,Buteo buteo,european,white,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.","Male buzzards make a spectacular breeding display, flying high then spiraling down over and over.",X,,,4,platform,2,123,X,X,X,,,,,1,,,,*,1,,,,X,X,X,,,,,,,X,,,,,X,,,,X,,,,X,,X,,,
Common Chaffinch,Fringilla coelebs,european,brown,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.,All-male chaffinch flocks are common in winter; they’re nicknamed bachelor birds.,,X,,4,bowl,2,23,X,X,,1,1,,,,,,/,,1,,,,X,X,,,,,,,,X,X,X,,,,,,,,,,X,,,,,,X
Common Chiffchaff,Phylloscopus collybita,european,brown,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.,"The chiffchaff’s name comes from its song, said to announce the arrival of spring.",,X,,3,ground,3,20,X,,X,1,1,,1,,,,/,,1,,,,X,,X,,,,,,X,X,X,X,,X,,,,,,,,X,,,,X,,
Common Cuckoo,Cuculus canorus,european,pink,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [bowl] or [ground] nest.",These brood parasites' eggs can match host species' eggs in color and pattern.,,,,4,,0,57,X,X,,2,,,,,,,,,2,,,,X,X,X,,,,,,,X,,,,,,,X,,,,,,,,,,,
Common Goldeneye,Bucephala clangula,european,teal,Lay 1 [egg] on this bird for each other bird with a [cavity] nest that you have.,Goldeneyes do not excavate nest holes; they look for natural cavities or old woodpecker nests.,,,,2,cavity,4,73,X,,X,1,,1,,,,,,,2,X,,,X,X,,,X,,,X,X,X,,,,,,X,,,X,X,,,,,,,,
Common Grackle ,Quiscalus quiscula,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","In winter, grackles roost in large flocks that can include millions of individuals.",,X,,3,bowl,3,43,X,X,X,,1,,,,,1,,,2,X,,,,,,,,,,,X,X,X,X,,,,,,,,,X,,,,,,,X
Common Kingfisher,Alcedo atthis,european,brown,Steal 1 [fish] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,Kingfishers have a third eyelid that protects their eyes while hunting underwater.,,,,4,wild,5,26,,,X,1,,2,,,,,,,3,,,,X,X,,X,,,,,,,,,X,X,,X,,,,X,,X,X,,,,X,X
Common Little Bittern,Ixobrychus minutus,european,brown,Gain 1 face-up [card] that can live in [grassland].,"At just 38 cm tall, this is one of the smallest herons.",,,,2,platform,3,49,,,X,1,,1,,,,,,,2,,,,X,X,X,,,,,,X,,,,,,,X,,,,,,,X,,,,X,
Common Loon,Gavia immer,core,brown,Player(s) with the fewest birds in their [wetland] draw 1 [card].,Loon chicks spend the majority of their first week of life riding on a parent's back.,,,,6,ground,1,117,,,X,,,1,,,,1,,,2,X,,,X,,,,,,,,,,,,,X,,X,,,X,,X,,,,,,X,
Common Merganser ,Mergus merganser,core,brown,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.",Adult males can eat fish more than a foot long.,X,,,5,cavity,4,86,,,X,,,1,,,,1,,,2,X,,,X,X,,,,,,,,,,,,,X,X,,,X,X,X,,,,,,X,
Common Moorhen,Gallinula chloropus,european,brown,"Discard 1 [wild] from your supply. If you do, play another bird in your [wetland]. Pay its normal food and egg cost.","Moorhens may build nests floating in the water, on the ground, or in a bush.",,,,3,wild,6,53,,,X,1,1,1,,,,,,,3,,,,X,X,X,X,,X,,,X,,,X,X,X,,X,,,,X,,,X,,,,X,X
Common Nighthawk ,Chordeiles minor,core,brown,"If this bird is to the right of all other birds in its habitat, move it to another habitat.","Nighthawks are crepuscular, hunting flying insects at dawn and dusk.",,,,3,ground,2,56,X,X,X,2,,,,,,,,,2,X,X,X,,,,,,,,,X,X,,,,X,,,X,,,,,,,,,,,
Common Nightingale,Luscinia megarhynchos,european,brown,Choose a food type. All players gain 1 of that food from the supply.,The nightingale's song has been called one of the most beautiful sounds of nature.,,,,3,bowl,4,23,X,X,X,1,1,,1,,,,/,,1,,,,X,X,X,,,,,,X,X,,X,,,,,,,,,,X,,,,X,,X
Common Raven,Corvus corax,core,brown,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,"Ravens are omnivores whose diet includes insects, rodents, eggs, birds, and carrion.",,,,5,platform,2,135,X,X,X,,,,,1,,2,,,3,X,X,,X,X,X,,,,,,,X,,,X,,,,,,X,,X,,X,,X,,,
Common Starling,Sturnus vulgaris,european,teal,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",Large flocks of starlings move in unison - the flock is called a murmuration.,,X,,3,cavity,4,38,,X,X,1,1,,1,,,,/,,1,,,,X,X,,,,,,,X,X,X,X,,,,,,,,X,,,,,,X,,
Common Swift,Apus apus,european,teal,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.","Swifts stay in the air for months between breeding; the name Apus means (incorrectly) ""no feet.""",,X,,5,cavity,2,46,,X,,1,,,,,,,,,1,,,,X,X,X,,,,,,,,X,,,,,,X,,,X,,,,X,,,,
Common Yellowthroat ,Geothlypis trichas,core,brown,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","This was one of the first American birds to be cataloged by Linnaeus, in 1766.",,,,1,bowl,4,18,,,X,1,,,,,,,,,1,X,X,,,,,,X,,,X,X,,,,,,,,X,,,,,X,,,,,X,X
Cooper's Hawk ,Accipiter cooperii,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",Cooper's hawks hunt forest birds and mammals with great stealth.,X,,,3,platform,2,79,X,,,,,,,1,,,,,1,X,X,,,,,,,,X,,X,,,,,,X,,,X,X,,,,X,,X,,,
Corsican Nuthatch,Sitta whiteheadi,european,white,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.,"This vulnerable species is found only on the island of Corsica, where it feeds on pine seeds.",,,X,4,cavity,2,21,X,,,,2,,,,,,,,2,,,,X,,,,,X,,,,,,X,,,,,,X,,X,,X,,,,,,
Count Raggi's Bird-of-Paradise,Paradisaea raggiana,oceania,brown,Choose 1 other player. You both gain 1 [fruit] from the supply.,A bird-of-paradise is featured on the flag of Papua New Guinea.,,,,7,bowl,2,55,X,,,1,,,2,,,,,,3,,,,,,,X,,,X,,,,,,X,,,,,X,,,,,,,,X,,X
Crested Pigeon,Ocyphaps lophotes,oceania,yellow,Cache up to 8 [seed] from your supply on this bird.,"Taking advantage of grain farming, this gregarious pigeon has greatly expanded its range in Australia.",,,,3,platform,4,45,,X,,,1,,,,,,,,1,,,,,,,X,X,,,,X,,,X,,,,,,,,,,,X,X,,,,
Crimson Chat,Epthianura tricolor,oceania,brown,Discard 1 [wild] to tuck 1 [card] from the deck behind this bird.,These birds may track rains in small flocks to find areas where food is more abundant.,,X,,4,bowl,2,19,,X,,1,1,,1,,,,/,,1,,,,,,,X,,,,X,,,X,X,,,,,,,,,,X,,X,,X,,X
Dark-Eyed Junco,Junco hyemalis,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",Juncos summer in the cool woods but will use more open habitats in the winter.,,X,,3,ground,3,23,X,X,,1,1,,,,,,,,2,X,,,,,,,X,,,,X,X,X,X,,X,,,,,,,,X,,,,,,
Dickcissel,Spiza americana,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.","This bird used to live in the eastern US, but its range has shrunk due to habitat loss.",,X,,4,ground,3,25,,X,,1,2,,,,,,,,3,X,X,X,,,,,,,,,,,X,X,X,X,,,,,,,,X,,X,,,,
Double-Crested Cormorant ,Phalacrocorax auritus,core,brown,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,Cormorant colonies can be so dense that their guano kills the trees.,,X,,3,platform,3,132,,,X,,,1,,,,1,,,2,X,X,,,,,,X,,,,X,,X,,,,,X,,,X,,X,,X,,,,X,
Downy Woodpecker ,Picoides pubescens,core,white,Play an additional bird in your [forest]. Pay its normal cost.,This little woodpecker frequently joins mixed flocks.,,,,3,cavity,2,30,X,,,1,1,,1,,,,/,,1,X,,,,,,,,,,,X,,,X,,,,,,X,,X,,X,,,,X,,
Dunnock,Prunella modularis,european,teal,"Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.",The chicks in a single nest of dunnocks often have different fathers.,,,,1,bowl,4,20,X,,,1,1,,,,,,,,2,,,,X,X,,,,,,,X,,,X,,,,,,X,,,,X,,,,,,X
Eastern Bluebird,Sialia sialis,core,white,Play an additional bird in your [grassland]. Pay its normal cost.,Bluebirds struggle to breed when there is a lack of tree cavities. Nest boxed help.,,,,4,cavity,5,33,,X,,1,,,1,,,,,,2,X,X,,,,,,,X,,X,,,,,,,,,,,,X,,,,X,,X,,
Eastern Imperial Eagle,Aquila heliaca,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.","This was the heraldic bird of several monarchies, but very few of them remain.",X,,,7,platform,2,200,,X,,,,,,3,,,,*,3,,,,X,X,X,,,X,,,,,,,X,,X,,,,X,,,,X,X,X,,,
Eastern Kingbird,Tyrannus tyrannus,core,pink,"When another player plays a bird in their [forest], gain 1 [invertebrate] from the supply.",The kingbird displays its orange crown while defending its territory.,,,,2,bowl,2,38,X,X,X,1,,,1,,,,/,,1,X,X,X,,,,,,X,,,X,X,,,,,,,,,,,,,,,,X,,X
Eastern Phoebe ,Sayornis phoebe,core,brown,All players gain 1 [invertebrate] from the supply.,"Phoebes use mud to attach nests to riverbanks, rocky outcrops, or human structures.",,,,3,wild,4,28,X,X,X,1,,,1,,,,/,,1,X,X,,,,,,,X,,,X,X,,,,X,,,,,,X,,X,X,,,X,,X
Eastern Rosella,Platycercus eximius,oceania,brown,All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.,This technicolor parrot is native to Australia and Tasmania; it has been introduced to New Zealand.,,,,4,cavity,3,48,X,X,,,1,,,,2,,,,3,,,,,,,X,,X,,X,,X,,X,X,,,,,,,X,,,,,,,,
Eastern Screech-Owl ,Megascops asio,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.","These owls live near humans, but because they're small and nocturnal, they're rarely seen.",X,,,4,cavity,2,51,X,,,1,,,,1,,,/,,1,X,,,,,,,,X,,,,,,,,,X,,,X,,X,,,,,X,,,
Eastern Whipbird,Psophodes olivaceus,oceania,brown,Choose 1 other player. You both gain 1 [seed] from the supply.,This secretive bird’s call is a long note followed by a whipcrack-like noise.,,,,5,bowl,2,30,X,,,1,1,,,,,,,,2,,,,,,,X,,X,,,,,,X,,,,,,X,,,,X,,,,,,X
Eleonora's Falcon,Falco eleonorae,european,brown,"Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.","Eleonora of Arborea was the first European ruler to outlaw hunting bird nests, in 1392.",,,,6,ground,2,95,,,X,1,,,,1,,,,,2,,,,X,,X,,,,X,,,,,,,X,,,,,X,,,,,,X,,X,
Emu,Dromaius novaehollandiae,oceania,brown,"Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).",Some indigenous cultures see an emu in the clouds of the Milky Way---it emerges at nesting time.,,,,4,ground,6,*,X,X,X,1,1,,1,,,,,,3,,,,,,,X,,,,,,X,,X,X,X,,,,,X,,,X,,,,X,,
Eurasian Collared-Dove,Streptopelia decaocto,european,teal,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.","In Greek myth, this mournful-sounding bird was once a servant who complained about her wages",,X,,5,platform,2,52,,X,,,1,,1,,,,,,2,,,,X,X,,,X,X,,,,,X,X,,,,,,,,,,,X,X,,X,,
Eurasian Golden Oriole,Oriolus oriolus,european,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.",This bird builds a cup-shaped nest suspended under a branch high in a tree.,,,,4,wild,2,46,X,X,,1,,,1,,,1,,,3,,,,X,X,X,,,X,,X,,X,,,X,X,,,,,,X,X,,X,,,X,,X
Eurasian Green Woodpecker,Picus viridis,european,teal,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.","Unlike other woodpeckers, this bird feeds mainly on the ground.",,,,4,cavity,3,48,X,X,,1,,,1,,,,,,2,,,,X,,,,,X,,X,,X,,,,,,,,,,X,,,,,,X,,
Eurasian Hobby,Falco subbuteo,european,white,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",This falcon catches insects and birds in flight.,X,,,4,platform,2,75,X,X,X,1,,,,1,,,,*,2,,,,X,X,X,,,X,,,,X,,,,,X,,,,X,,,,X,,X,,,
Eurasian Jay,Garrulus glandarius,european,brown,Steal 1 [seed] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,These birds plan for future needs by hoarding acorns for winter.,,,,4,bowl,3,56,X,,,1,1,,,,,1,,,3,,,,X,X,,,,X,,,,,,X,X,,,,,X,,,X,,,,,,,X
Eurasian Magpie,Pica pica,european,teal,"Choose 1 other player. For each action cube on their [grassland], cache 1 [wild] from the supply on any of your birds.","These birds are considered to have very high intelligence, similar to great apes.",,,,1,platform,3,56,,X,,1,,,,,,1,,,2,,,,X,X,,,,X,,,X,,,,,,,,,,,,X,,X,X,,,,
Eurasian Nutcracker,Nucifraga caryocatactes,european,brown,Choose 1-5 birds in your [forest]. Cache 1 [seed] from your supply on each.,Nutcrackers have been observed traveling as far as 32 km to cache seeds.,,,,5,bowl,2,55,X,,,,1,,,,,,,,1,,,,X,X,,,,X,,,,,,X,,,,,,X,,,,,,,,,,X
Eurasian Nuthatch,Sitta europaea,european,brown,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",These birds will often recycle old woodpecker holes as nesting sites.,,,,3,cavity,3,25,X,,,1,1,,,,,,,,2,,,,X,X,,,,X,,,X,,,X,,,,,,X,,X,,X,,,,,,
Eurasian Sparrowhawk,Accipiter nisus,european,white,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",Sparrowhawk populations declined with the introduction of agricultural insecticides.,X,,,4,platform,2,65,X,,,,,,,1,,,,*,1,,,,X,X,X,,,X,,,,,,,,,X,,,X,,,,,X,,X,,,
Eurasian Tree Sparrow,Passer montanus,european,pink,"When another player takes the ""gain food"" action, gain 1 [seed] from the birdfeeder at the end of their turn.",A traditional Japanese dance was inspired by the fluttering of the tree sparrow.,,,,3,cavity,4,21,X,X,,1,1,,,,,,,,2,,,,X,X,,X,,X,,,X,X,,X,,,,,,,,X,,X,,,,,,
European Bee-Eater,Merops apiaster,european,brown,"Reset the birdfeeder. If you do, gain 1 [invertebrate] from the birdfeeder after resetting.",Honeybees make up approximately three-quarters of this bird’s diet.,,,,3,cavity,3,38,,X,,2,,,,,,,,,2,,,,X,X,X,,,X,,,X,,,,,,,,X,,,X,,,,X,,,,
European Goldfinch,Carduelis carduelis,european,pink,"When another player tucks a [card] for any reason, tuck 1 [card] from the deck behind this bird.",This goldfinch is depicted in hundreds of Italian Renaissance paintings.,,X,,6,bowl,4,23,X,X,,,2,,1,,,,,,3,,,,X,X,,,,X,,X,,X,X,X,X,,,,,,,,,X,,,,X,,X
European Honey Buzzard,Pernis apivorus,european,teal,"Reset the birdfeeder. If you do, gain all [invertebrate] in the birdfeeder after resetting.",This species possesses long toes and claws to rake and excavate wasp nests.,,,,4,platform,1,134,X,,,1,,,,,,1,,,2,,,,X,X,X,,,X,,,,,,,,,,,,X,X,,X,,X,,,,,
European Robin,Erithacus rubecula,european,brown,"From the supply, gain 1 food of a type you already gained this turn.",Folklore says the bad or good fortune you bring to a robin will come back to you.,,,,4,bowl,4,22,X,,,1,1,,1,,,,,,3,,,,X,X,,,,X,,,,,,X,X,,,,,X,,,,X,,,,X,,X
European Roller,Coracias garrulus,european,white,"Place this bird sideways, so that it covers 2 [grassland] spaces. Pay the lower egg cost.",European roller chicks will vomit on themselves to deter nearby predators.,,,,3,cavity,2,70,,X,,1,,,,1,,,,,2,,,,X,X,X,,,X,,,X,,,,,,,,,,X,X,,,,X,X,,,
European Turtle Dove,Streptopelia turtur,european,white,"Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder, lay 1 [egg] on any bird, or draw 1 [card].",Turtle doves are a symbol of love in the Song of Solomon and the 12 Days of Christmas.,,,X,4,platform,1,51,X,X,X,,2,,,,,,,,2,,,,X,X,X,,,X,,,,X,,X,,,,,,,,,,,X,,,,,
Ferruginous Hawk ,Buteo regalis,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",These rust-colored birds sometimes hunt in groups in prairie dog towns.,X,,,6,platform,2,142,,X,,,,,,2,,,,,2,X,X,,,,,,,,,X,,,,,,,X,,,,X,,,,X,X,X,,,
Fish Crow,Corvus ossifragus,core,brown,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,"These birds may eat more fish than other crows, but they're actually omnivores.",,,,6,platform,2,91,X,X,X,,,1,,,,1,,,2,X,,,,,,,,,,,,X,,,,,,X,,,X,,X,,X,,,,,
Forster's Tern ,Sterna forsteri,core,brown,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.","These birds nest on the ground, on rafts of floating vegetation, or on muskrat lodges.",,,,4,wild,2,79,,,X,1,,1,,,,,/,,1,X,X,,,,,,,,X,,,,,,,X,,X,,,X,X,,,X,,,,X,X
Franklin's Gull ,Leucophaeus pipixcan,core,brown,Discard 1 [egg] to draw 2 [card].,These gulls make floating nests of plant material on prairie marshes.,,,,3,wild,2,91,,X,X,,,1,,,,1,,,2,X,X,X,,,,,,,X,,X,X,,,,X,,X,,,X,X,X,,X,,,,,X
Galah,Eolophus roseicapilla,oceania,brown,"Choose 1 other player. They reset the birdfeeder and gain a [seed], if there is one. You tuck 2 [card] from the deck behind this bird.","A noisy idiot might be called a galah after these gregarious, playful birds.",,X,,5,cavity,2,75,X,X,,,3,,,,,,,,3,,,,,,,X,,,,,,X,X,X,X,,,,,,X,X,,,,,,,,
Goldcrest,Regulus regulus,european,brown,"Discard 1 [card] from your hand. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",Legends said these tiny birds would hitch a ride in the tailfeathers of eagles or owls.,,,,1,bowl,6,15,X,,,1,,,,,,,,,1,,,,X,X,,,X,,,X,X,,,,,,,,X,X,,,,X,,,,,,X
Golden Eagle,Aquila chrysaetos,core,brown,"Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.",Golden eagles mostly eat rabbit-sized prey but can go after livestock and birds.,X,,,8,platform,1,201,,X,X,,,,,3,,,,,3,X,X,,X,X,X,,,,,X,,X,,,X,,X,,,,X,,,,X,,X,,,
Golden-Headed Cisticola,Cisticola exilis,oceania,white,Play another bird in your [grassland]. Pay its normal cost with a 1 [egg] discount.,The cisticola constructs well-camouflaged nests out of leaves and spider silk,,,,1,wild,3,15,,X,,1,,,,,,,,,1,,,,,X,,X,X,,,X,X,,,,,X,,,X,,,X,,X,X,X,,,,X
Gould's Finch,Erythrura gouldiae,oceania,yellow,"Play a bird. Pay its normal food and egg cost. If it has a ""when played"" or ""game end"" power, you may use it.","Also known as Gouldian finches, these birds are bred as pets but are rare in the wild.",,,,3,cavity,3,14,X,X,X,,1,,,,,,,,1,,,,,,,X,,,X,,X,X,,X,,,,,,,,X,,X,,,,,,
Grasshopper Sparrow ,Ammodramus savannarum,core,brown,Lay 1 [egg] on any bird.,The song of these sparrows is often mistaken for grasshoppers.,,,,2,ground,2,20,,X,,1,1,,,,,,/,,1,X,X,,,,,,,,,,X,,,X,,X,,,,,,,,X,,X,,,,
Gray Catbird,Dumetella carolinensis,core,brown,Repeat a brown power on another bird in this habitat.,"Catbirds mimic other birds, and they also have a call that sounds like a cat meowing.",,,,5,bowl,3,28,X,X,X,1,,,2,,,,,,3,X,X,,,,,,,,,X,,X,,,X,,,,,,,,,X,,,,X,,X
Great Blue Heron,Ardea herodias,core,white,Play an additional bird in your [wetland]. Pay its normal cost.,"Great blue herons form rookeries with egrets, cormorants, and other herons.",,,,5,platform,2,183,,,X,1,,1,,,,,,,2,X,X,X,,,,,,,,X,,,,,,,,X,,,X,,,,X,,,,X,
Great Crested Flycatcher ,Myiarchus crinitus,core,brown,"Gain 1 [invertebrate] from the birdfeeder, if available.",These birds avoid competition by focusing on insects high up in trees.,,,,5,cavity,3,33,X,,,1,,,1,,,,,,2,X,X,X,,,,,X,,,,,,,,,,,,,X,,X,,,,,,X,,
Great Crested Grebe,Podiceps cristatus,european,brown,"Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.",Great crested grebe parents will choose their favorite chicks and rear them individually.,,,,3,wild,2,65,,,X,,,2,,,,,,,2,,,,X,X,X,X,X,,,,X,,,,,X,,X,,,,X,,,X,,,,X,X
Great Egret,Ardea alba,core,white,Play an additional bird in your [wetland]. Pay its normal cost.,Smaller birds will sometimes follow after great egrets as they stir up prey.,,,,7,platform,3,130,,,X,,,2,,1,,,,,3,X,X,X,X,X,X,X,,,,,,,,,X,,,X,,,X,,,,X,,X,,X,
Great Horned Owl ,Bubo virginianus,core,brown,"Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.","These strong owls can kill large prey including skunks, cats, and dogs.",X,,,8,platform,2,112,X,,,,,,,3,,,,,3,X,X,X,,,,,,,,,,,,,X,,X,,,X,X,,,,X,,X,,,
Great Tit,Parus major,european,brown,"Reset the birdfeeder. If you do, gain 1 [die] from the birdfeeder after resetting.",Great tits have been known to use conifer needles as tools to pull insect larvae out of a tree,,,,4,cavity,6,24,X,,,1,1,,1,,,,,,3,,,,X,X,,X,,,,,,,,X,X,,,,,X,,X,,X,,,,X,,
Greater Flamingo,Phoenicopterus roseus,european,brown,"Choose 1 other player. For each action cube on their [wetland], tuck 1 [card] from your hand behind this bird, then draw an equal number of [card].",A greater flamingo at the Adelaide Zoo in Australia lived to be at least 83 years old.,,X,,3,ground,1,152,,,X,1,2,,,,,,,,3,,,,X,X,X,,,,,,X,,X,X,X,X,,,,,X,,,,,,,,X,
Greater Prairie-Chicken ,Tympanuchus cupido,core,white,Draw 2 new bonus cards and keep 1.,"One subspecies of this bird went extinct in 1932, and a Texas form is endangered.",,,X,5,ground,4,71,,X,,1,2,,,,,,,,3,X,,,,,,,,X,,,,,,X,X,X,,,,,X,,,,,X,,,,
Greater Roadrunner ,Geococcyx californianus,core,brown,"Look at a [card] from the deck. If less than 50cm, tuck it behind this bird. If not, discard it.","Roadrunners rarely fly, but will jump up to snatch prey out of the air.",X,,,7,platform,2,56,,X,,1,,,,1,,1,,,3,X,X,,,,,,,,,,,,,,X,,X,,,,,,X,,X,X,X,,,
Green Heron,Butorides virescens,core,brown,Trade 1 [wild] for any other type from the supply.,Green herons drop insects and other objects onto the water to attract fish.,,,,4,platform,3,66,,,X,1,,1,,,,,/,,1,X,X,,,,,,,,,X,,,,,,,,X,,,X,,,,X,,,,X,
Green Pygmy-Goose,Nettapus pulchellus,oceania,brown,Draw 2 [card] from the deck. Keep 1 and give the other to another player.,"This bird’s scientific name, pulchellus, is derived from the Latin word for ""pretty.""",,,,4,cavity,4,54,,,X,,2,,,,,,,,2,,,,,X,,X,,,,X,,,,X,,,,,,,,X,,,,,,,X,
Grey Butcherbird,Cracticus torquatus,oceania,brown,"Look at a [card] from the deck. If its wingspan is less than 40cm, tuck it behind this bird and cache 1 [rodent] from the supply on this bird. If not, discard it.","If prey is too large to eat whole, the butcherbird will store it and tear it into pieces.",X,,,5,bowl,2,40,X,X,X,1,,,,1,,1,,,3,,,,,,,X,,,,X,,X,,,X,,X,,,,,,X,,,,X,,,X
Grey Heron,Ardea cinerea,european,white,"Place this bird sideways, so that it covers 2 [wetland] spaces. Pay the lower egg cost.",These large herons have 19 vertebrae in their necks.,,,,3,platform,2,185,,,X,,,2,,,,,,,2,,,,X,X,X,X,,,,X,X,,,,,,,X,,,X,,,,X,,,,X,
Grey Shrikethrush,Colluricincla harmonica,oceania,brown,"Reset the birdfeeder and gain all [rodent], if there are any. You may cache any or all of them on this bird.","This bird is neither a shrike nor a thrush, but it is a predatory bird with a beautiful song",X,,,2,bowl,3,26,X,,,1,,,,1,,,/,,1,,,,,,,X,,,,X,X,,,,,,X,,,X,,,,X,,,X,,,X
Grey Teal,Anas gracilis,oceania,brown,"Look at 3 [card] from the deck. Keep 1 [wetland] bird, if there is one. You may add it to your hand or tuck it behind this bird. Discard the other cards.","During drought, these birds may travel great distances to find water.",,X,,2,ground,5,64,,,X,1,1,,,,,,,,2,,,,,,,X,,,,X,X,,X,X,,X,,,,,,,,,,,,,X,
